campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
11,2016-09-24,2016-12-08,27,9,3,261.3861203815866,-19.730728630321906,262.6417800329727,-19.5134027810893,262.86182026440696,-20.613337728565345,261.5968352772377,-20.8317164048974
11,2016-09-24,2016-12-08,28,9,4,263.9067845300147,-19.285825542004275,262.65444962733864,-19.51116172470701,262.87458900092486,-20.611084491953797,264.1358495993772,-20.383468178858358
11,2016-09-24,2016-12-08,29,10,1,263.7969348319782,-18.778304666088047,262.54776349588354,-19.000968557846274,262.33438966925496,-17.900149734037054,263.5765736827931,-17.67931746584499
11,2016-09-24,2016-12-08,30,10,2,261.28251027387273,-19.216764802998462,262.53512048193386,-19.00317477505357,262.3218247228547,-17.902341850232933,261.0765521220551,-18.115169374521166
11,2016-09-24,2016-12-08,31,10,3,260.8552358641548,-16.91988077030613,262.0919556399841,-16.708009376544073,262.30233733245933,-17.80910153768382,261.0577153685025,-18.021789072641614
11,2016-09-24,2016-12-08,32,10,4,263.33847742340384,-16.487193607935104,262.1044430582279,-16.70583713585291,262.31489593404956,-17.80691066932975,263.5564722360061,-17.58631475942112
11,2016-09-24,2016-12-08,33,11,1,259.90432322158983,-28.665746887629005,261.2535361497747,-28.460958749462055,261.47942842844657,-29.562544432056136,260.1153924479833,-29.769087637052912
11,2016-09-24,2016-12-08,34,11,2,262.6110513801078,-28.24125157149792,261.2671447624003,-28.45882712383268,261.49318468706207,-29.560388909239958,262.8514116921906,-29.339852190891605
11,2016-09-24,2016-12-08,35,11,3,263.11783341048465,-30.533945996464936,261.7443306585327,-30.757717996928765,261.51273766566845,-29.65655234217799,262.87223910364384,-29.43564127390003
11,2016-09-24,2016-12-08,36,11,4,260.35056281443855,-30.96848552814432,261.7304197774686,-30.759905098497764,261.49896869881496,-29.658709881583356,260.1336112804659,-29.865525635057473
11,2016-09-24,2016-12-08,37,12,1,259.37997438625376,-25.848824128519993,260.6964413737015,-25.648290343868112,260.9112591885102,-26.750758007543553,259.58186335995754,-26.952757362105025
11,2016-09-24,2016-12-08,38,12,2,262.0217320769415,-25.434402867856875,260.7097222115368,-25.64620602323454,260.9246624815804,-26.74865387824164,262.24915956635135,-26.534209506329113
11,2016-09-24,2016-12-08,39,12,3,262.50067852024733,-27.727195485151775,261.1629927457223,-27.94407080128337,260.94385797052064,-26.841912264351855,262.2694748951109,-26.627606131510678
11,2016-09-24,2016-12-08,40,12,4,259.806384174902,-28.149370234884618,261.14944747308743,-27.946192152450244,260.9304302509083,-26.844014549417366,259.5998730108432,-27.045777388094873
11,2016-09-24,2016-12-08,41,13,1,258.877351362908,-23.026834358520606,260.1653359127531,-22.82933251029622,260.37136394072706,-23.932398682279217,259.07215797947936,-24.13109691938061
11,2016-09-24,2016-12-08,42,13,2,261.46256591578873,-22.620001584704994,260.17832708105726,-22.827289077835513,260.3844728427781,-23.93033622866018,261.6795274115326,-23.72067288846614
11,2016-09-24,2016-12-08,43,13,3,261.9186386861296,-24.91516410485219,260.61235140735926,-25.1272216351703,260.4024617249867,-24.024441238289235,261.698473939532,-23.81469734617525
11,2016-09-24,2016-12-08,44,13,4,259.28824719076994,-25.329076294610772,260.59912071053833,-25.129303860331618,260.38934971322226,-24.0265042501584,259.0891665723783,-24.225177949007538
11,2016-09-24,2016-12-08,45,14,1,261.362351634398,-22.106338893256975,260.0822694560119,-22.311336284475033,259.88295383659937,-21.207443976643205,261.15425572656613,-21.00444493178149
11,2016-09-24,2016-12-08,46,14,2,258.78541802621885,-22.507565894266804,260.0693090249556,-22.31335117941776,259.87008995941324,-21.2094435998947,258.595331430235,-21.40278357296532
11,2016-09-24,2016-12-08,47,14,3,258.3920085486929,-20.20228670948564,259.65601286716884,-20.00902961416575,259.85290386886845,-21.11302444817213,258.5791540814886,-21.307162140161847
11,2016-09-24,2016-12-08,48,14,4,260.9297135617507,-19.805524518198784,259.66877055745164,-20.007035408379306,259.8657575671189,-21.111014835652483,261.13606035051197,-20.907317326436576
11,2016-09-24,2016-12-08,49,15,1,260.83473369905226,-19.287580304116247,259.57795605258286,-19.48984369010317,259.38415898473886,-18.385723128398634,260.6336127175864,-18.185236512259664
11,2016-09-24,2016-12-08,50,15,2,258.3052503572086,-19.684702493835058,259.5652335087488,-19.491838056063937,259.37151799403125,-18.387704332061418,258.11917665330867,-18.57991876345835
11,2016-09-24,2016-12-08,51,15,3,257.92035690134736,-17.378978045171554,259.1639283558213,-17.187965586485703,259.3545843255729,-18.292409718399412,258.10281635811634,-18.484156709263722
11,2016-09-24,2016-12-08,52,15,4,260.41752259459577,-16.987924144836764,259.17648699794444,-17.185997659629148,259.36721854310235,-18.290429630089765,260.61613774734514,-18.090501729627665
11,2016-09-24,2016-12-08,53,16,1,256.6887511372278,-29.099460589209198,258.04922225166575,-28.924740601939117,258.2440263132313,-30.030946304151733,256.86815716694883,-30.207110613401273
11,2016-09-24,2016-12-08,54,16,2,259.418742355969,-28.73506472850849,258.06295267051445,-28.92291101690969,258.2579101392323,-30.029096283701726,259.62865738418867,-29.838557457530158
11,2016-09-24,2016-12-08,55,16,3,259.8622947061722,-31.03498766710932,258.475600056282,-31.22831172341386,258.27593015577486,-30.122367410769794,259.64802655303606,-29.93166415977717
11,2016-09-24,2016-12-08,56,16,4,257.0692554252894,-31.4078465363288,258.4615613637737,-31.230189564820392,258.2620345920636,-30.124224953053663,256.8847938552649,-30.300446649838058
11,2016-09-24,2016-12-08,57,17,1,256.23472540352856,-26.274436853042374,257.56101081628236,-26.102022539322032,257.74742061066036,-27.20873481905959,256.40771232333464,-27.382349609921917
11,2016-09-24,2016-12-08,58,17,2,258.8967164627136,-25.91624697476349,257.5743920927864,-26.10022428316064,257.76094201655496,-27.20691729491826,259.096296573872,-27.020507070605685
11,2016-09-24,2016-12-08,59,17,3,259.3178296107534,-28.21828901326398,257.9687223698188,-28.407435449372223,257.77792187641444,-27.300951292355474,259.11443625347056,-27.114163153678835
11,2016-09-24,2016-12-08,60,17,4,256.6011642819593,-28.584336505578218,257.9550616429309,-28.40927812369228,257.7643902840575,-27.302776105971724,256.42347833979517,-27.476668260738045
11,2016-09-24,2016-12-08,61,18,1,258.35015708500316,-23.059601635496417,258.55557156348635,-24.24733014533725,257.3417266376221,-24.41814595704117,257.1475569427922,-23.228252571779443
11,2016-09-24,2016-12-08,62,18,2,258.7663462872197,-25.446870336143622,258.55766801734217,-24.259331324586128,257.34370453123586,-24.430164213502234,257.54157944626525,-25.61980173228179
11,2016-09-24,2016-12-08,63,18,3,256.2048941632036,-25.794081538628863,256.02026047531,-24.603179699338114,257.23790043023376,-24.443877795877277,257.4336710289674,-25.633873383696194
11,2016-09-24,2016-12-08,64,18,4,255.83802831839031,-23.39992645673978,256.0184190551844,-24.591143157584316,257.2359510540092,-24.431855644546836,257.0439085909792,-23.24160710419996
11,2016-09-24,2016-12-08,65,19,1,257.88142792443523,-20.2369539391139,258.07841308727205,-21.425311966724017,256.8890378981683,-21.592828757369784,256.7017401577777,-20.402506034401746
11,2016-09-24,2016-12-08,66,19,2,258.279970805219,-22.625543123615774,258.0804131007535,-21.437318936518484,256.89094887121416,-21.604854366534585,257.08135279285506,-22.794967815876195
11,2016-09-24,2016-12-08,67,19,3,255.7731375508664,-22.96731808581548,255.5934473743617,-21.776314666505513,256.78589896775964,-21.618371612595798,256.9750592002582,-22.808663696488768
11,2016-09-24,2016-12-08,68,19,4,255.4156508299972,-20.572991904379805,255.59165599677323,-21.76427892641999,256.7840087218814,-21.606343130754016,256.597993327271,-20.415836556851655
11,2016-09-24,2016-12-08,69,20,1,257.8527222174006,-19.753809346571877,256.5882953437876,-19.933072560153537,256.4167046255533,-18.825491429135383,257.6734406533782,-18.647864964491763
11,2016-09-24,2016-12-08,70,20,2,255.30814993413173,-20.104497117765003,256.57549514425494,-19.934836648366215,256.40399530089786,-18.827242662548624,255.14463879831328,-18.996326297715022
